ID,1st Topic,1st Score,2nd Topic,2nd Score,3rd Topic,3rd Score,District,How Connected,District Importance,Topic Importance,Cost Importance,Likelihood Importance,Description
4VQ14DB6,Transport,37,Nature,33,Culture,30,Süd,A great deal,Very important,Very important,Not important at all,Not important at all,"You are a university student from Süd district in Zurich. You prefer Transport projects, have a low interest in Nature projects, and have a low interest in Culture projects. You feel connected A great deal to the city. When deciding on projects, you find the district to be Very important, the urban category Very important, and the cost of the project Not important at all."
LGXYJ4C1,Transport,50,Nature,30,Culture,20,Nord,A moderate amount,Extremely important,Extremely important,Moderately important,Slightly important,"You are a university student from Nord district in Zurich. You prefer Transport projects, have a low interest in Nature projects, and have a low interest in Culture projects. You feel connected A moderate amount to the city. When deciding on projects, you find the district to be Extremely important, the urban category Extremely important, and the cost of the project Moderately important."
XZJCW2GS,Culture,80,Transport,10,Nature,10,Süd,A lot,Very important,Very important,Not important at all,Not important at all,"You are a university student from Süd district in Zurich. You strongly prefer Culture projects, have a low interest in Transport projects, and have a low interest in Nature projects. You feel connected A lot to the city. When deciding on projects, you find the district to be Very important, the urban category Very important, and the cost of the project Not important at all."
H4T5RY7K,Transport,45,Nature,30,Culture,25,West,A great deal,Moderately important,Extremely important,Slightly important,Slightly important,"You are a university student from West district in Zurich. You prefer Transport projects, have a low interest in Nature projects, and have a low interest in Culture projects. You feel connected A great deal to the city. When deciding on projects, you find the district to be Moderately important, the urban category Extremely important, and the cost of the project Slightly important."
JCR7EG1H,Transport,40,Nature,40,Culture,20,Ost,A moderate amount,Very important,Extremely important,Slightly important,Slightly important,"You are a university student from Ost district in Zurich. You prefer Transport projects, prefer Nature projects, and have a low interest in Culture projects. You feel connected A moderate amount to the city. When deciding on projects, you find the district to be Very important, the urban category Extremely important, and the cost of the project Slightly important."
JJBCAC37,Transport,75,Nature,25,Culture,0,Süd,A great deal,Slightly important,Very important,Not important at all,Not important at all,"You are a university student from Süd district in Zurich. You strongly prefer Transport projects, have a low interest in Nature projects, and have a low interest in Culture projects. You feel connected A great deal to the city. When deciding on projects, you find the district to be Slightly important, the urban category Very important, and the cost of the project Not important at all."
9HDEH1D1,Transport,35,Nature,34,Culture,31,West,A lot,Slightly important,Slightly important,Not important at all,Not important at all,"You are a university student from West district in Zurich. You prefer Transport projects, prefer Nature projects, and have a low interest in Culture projects. You feel connected A lot to the city. When deciding on projects, you find the district to be Slightly important, the urban category Slightly important, and the cost of the project Not important at all."
44VVL46Y,Nature,50,Transport,25,Culture,25,Süd,A little,Extremely important,Very important,Very important,Extremely important,"You are a university student from Süd district in Zurich. You prefer Nature projects, have a low interest in Transport projects, and have a low interest in Culture projects. You feel connected A little to the city. When deciding on projects, you find the district to be Extremely important, the urban category Very important, and the cost of the project Very important."
15KHCW7R,Transport,50,Nature,30,Culture,20,Ost,A great deal,Extremely important,Very important,Slightly important,Moderately important,"You are a university student from Ost district in Zurich. You prefer Transport projects, have a low interest in Nature projects, and have a low interest in Culture projects. You feel connected A great deal to the city. When deciding on projects, you find the district to be Extremely important, the urban category Very important, and the cost of the project Slightly important."
PS5EF9WV,Transport,40,Nature,40,Culture,20,Ost,A moderate amount,Moderately important,Very important,Not important at all,Not important at all,"You are a university student from Ost district in Zurich. You prefer Transport projects, prefer Nature projects, and have a low interest in Culture projects. You feel connected A moderate amount to the city. When deciding on projects, you find the district to be Moderately important, the urban category Very important, and the cost of the project Not important at all."
14SJEBYM,Culture,40,Transport,30,Nature,30,Süd,A lot,Very important,Very important,Very important,Extremely important,"You are a university student from Süd district in Zurich. You prefer Culture projects, have a low interest in Transport projects, and have a low interest in Nature projects. You feel connected A lot to the city. When deciding on projects, you find the district to be Very important, the urban category Very important, and the cost of the project Very important."
66639V43,Nature,53,Transport,38,Culture,9,West,A moderate amount,Moderately important,Very important,Not important at all,Not important at all,"You are a university student from West district in Zurich. You strongly prefer Nature projects, prefer Transport projects, and have a low interest in Culture projects. You feel connected A moderate amount to the city. When deciding on projects, you find the district to be Moderately important, the urban category Very important, and the cost of the project Not important at all."
